	GSM605087	GSM605088	GSM605089	GSM605090	GSM605091	GSM605092	GSM605113
hsa-miR-7	3.472354576	4.020945569	4.081904167	4.302360939	4.874830844	4.688389382	4.601631934
hsa-miR-7-1*	3.956682746	4.490320344	4.318658096	4.705006471	5.381315702	5.118293169	5.080061849
hsa-miR-744	5.905901212	6.038083308	5.963414806	5.755663097	6.269351933	6.217793021	6.136501682
hsa-miR-744*	3.546987495	3.372732747	3.735784509	2.702072369	3.581007454	3.152064857	3.222867846
hsa-miR-758	4.571958741	4.842808183	4.443620199	5.695414225	4.93936841	4.600809693	4.663712642
hsa-miR-766	6.782673799	6.661847068	6.988154846	6.319951414	6.945898489	6.794988516	6.741789239
hsa-miR-768-3p	2.992236169	3.028949424	4.021094427	4.213964428	4.490389888	4.235592357	4.251023472
hsa-miR-768-5p	3.561562994	4.485793005	5.343204686	4.490088124	5.836312533	5.842900732	5.756912415
hsa-miR-769-3p	3.028291425	2.044356963	2.074509399	1.478460969	1.987483861	1.780420425	1.060425707
hsa-miR-769-5p	5.423777524	5.0183058	5.112626139	4.866056436	5.356175813	5.04276038	5.063784199
hsa-miR-874	4.284761044	3.680791837	3.715509214	3.705888969	4.110854192	3.814921622	3.832988456
hsa-miR-877	2.244066814	1.491363584	0.755844946	1.309281019	1.604931775	1.393927653	1.169198113
hsa-miR-886-3p	4.109024614	3.69056054	3.589318754	3.974398564	4.540561262	4.210855678	4.230182875
hsa-miR-889	1.676825496	2.234579234	1.462414771	2.93859033	2.41424274	2.443850253	2.431391591
hsa-miR-9*	2.77753895	2.317818474	2.274635106	3.334170434	4.058332164	3.734034448	3.78988023
hsa-miR-923	6.966476915	6.290316503	6.322963724	7.724433389	6.254743777	6.024746991	6.018824331
hsa-miR-92a	9.369819687	9.089981271	9.039522395	9.094112127	9.433875846	9.235325625	9.205798071
hsa-miR-92a-1*	1.684747591	1.57819902	1.955989184	1.427549062	1.907902643	1.715928989	1.78842224
hsa-miR-93	8.686652381	8.207660797	8.166457717	8.132506705	8.585145255	8.382376402	8.290418054
hsa-miR-93*	2.190729083	1.563944608	1.643908902	1.667348266	2.325666652	2.110027729	1.9083581
hsa-miR-939	4.051506648	3.523969433	3.294324612	3.475633633	3.706557277	3.466488744	3.033129209
hsa-miR-940	4.209509358	3.962704713	4.375472705	3.997525244	4.052221374	3.876246594	3.80647136
hsa-miR-98	6.737076086	6.876852674	6.964560853	6.990633961	7.284505362	7.081540505	6.964598643
hsa-miR-99a	4.703657133	4.951224935	5.037056493	4.662797379	5.079508158	4.814798821	4.765058659
hsa-miR-99b	7.756109724	5.31973144	6.597542622	5.939668495	5.736669067	5.421167543	5.424319863
kshv-miR-K12-3	1.761138737	3.05415683	2.155821395	2.75323387	2.592444793	2.645209793	2.552502991
